Iteration,LatencyLevel,MemCache,MiraCache,Difference(%)
1,low,472.058,466.712,-1.13256
2,low,468.788,471.435,0.564731
3,low,471.657,469.434,-0.471147
4,low,467.585,466.029,-0.332744
5,low,466.81,468.411,0.342942
1,medium,466.699,486.886,4.32544
2,medium,468.504,467.969,-0.114205
3,medium,471.906,468.663,-0.687256
4,medium,468.71,475.12,1.36768
5,medium,484.053,467.941,-3.32852
1,high,469.576,471.029,0.30947
2,high,468.588,465.993,-0.553949
3,high,467.906,467.031,-0.187054
4,high,467.348,469.494,0.459366
5,high,478.114,474.049,-0.850362
