Iteration,LatencyLevel,MemCache,MiraCache,Difference(%)
1,low,366.995,367.162,0.0456271
2,low,367.264,366.979,-0.0775048
3,low,367.058,367.09,0.00871798
4,low,367.065,367.146,0.0222429
5,low,367.386,368.27,0.240595
1,medium,367.642,369.72,0.565163
2,medium,367.297,367.499,0.0548471
3,medium,367.72,367.523,-0.0533874
4,medium,369.925,366.691,-0.874348
5,medium,383.783,366.77,-4.43297
1,high,366.733,366.928,0.0532137
2,high,366.744,366.57,-0.0476923
3,high,367.041,378.646,3.16172
4,high,367.098,367.268,0.046213
5,high,366.747,367.002,0.0694617
