Operation,LatencyLevel,MemCacheAvg,MiraCacheAvg,MemCacheMedian,MiraCacheMedian,DifferenceAvg(%),DifferenceMedian(%)
Insert,low,3109.91,3313.17,3112.73,3311.85,6.53603,6.39698
Lookup,low,469.38,468.404,468.788,468.411,-0.207768,-0.080344
RangeScan,low,367.153,367.33,367.065,367.146,0.047956,0.0222429
Mixed,low,88.3126,18473.7,88.1098,19709.7,20818.5,22269.5
Insert,medium,3103.55,3309.26,3099.89,3307.63,6.62797,6.70162
Lookup,medium,471.974,473.316,468.71,468.663,0.284216,-0.00999958
RangeScan,medium,371.274,367.641,367.72,367.499,-0.978497,-0.0600455
Mixed,medium,87.2264,15717.6,86.6417,14563.3,17919.4,16708.7
Insert,high,3144.42,3335.74,3135.95,3325.25,6.08451,6.03636
Lookup,high,470.306,469.519,468.588,469.494,-0.167408,0.193325
RangeScan,high,366.873,369.283,366.747,367.002,0.656873,0.0694617
Mixed,high,88.3008,21460.4,87.5117,21619.9,24203.8,24605.2
