Iteration,LatencyLevel,Baseline,MiraCache,Difference(%)
1,low,470.602,475.205,0.978023
2,low,472.305,468.257,-0.856973
3,low,475.04,688.359,44.9054
4,low,594.136,528.765,-11.0028
5,low,624.834,625.456,0.0995903
1,medium,506.769,554.741,9.46631
2,medium,480.454,498.588,3.77431
3,medium,509.211,523.219,2.75111
4,medium,470.629,472.17,0.32746
5,medium,482.575,485.419,0.589429
1,high,622.417,607.763,-2.35427
2,high,611.459,620.269,1.44075
3,high,595.805,602.916,1.19346
4,high,586.284,598.186,2.02999
5,high,467.374,467.25,-0.0265224
