Iteration,LatencyLevel,Baseline,MiraCache,Difference(%)
1,low,134.987,21498.4,15826.2
2,low,140.662,17173.6,12109.1
3,low,139.743,16748.5,11885.2
4,low,138.24,11855.9,8476.31
5,low,156.119,23815.1,15154.5
1,medium,285.957,14845.6,5091.54
2,medium,305.746,17647.6,5671.99
3,medium,320.585,16848.7,5155.62
4,medium,269.449,26686.9,9804.27
5,medium,381.3,22648.1,5839.7
1,high,525.162,16882.1,3114.64
2,high,518.293,20176.0,3792.78
3,high,369.265,17143.8,4542.68
4,high,369.411,16867.8,4466.13
5,high,453.602,18668.1,4015.54
