Iteration,LatencyLevel,Baseline,MiraCache,Difference(%)
1,low,367.124,369.271,0.584749
2,low,368.917,366.843,-0.56219
3,low,426.494,460.777,8.03824
4,low,395.291,375.895,-4.90685
5,low,403.929,466.562,15.506
1,medium,451.737,459.819,1.78914
2,medium,448.081,374.801,-16.3542
3,medium,395.778,392.729,-0.770515
4,medium,375.16,374.767,-0.104714
5,medium,380.575,374.973,-1.47196
1,high,395.846,391.766,-1.03066
2,high,397.5,401.909,1.1091
3,high,409.606,387.903,-5.29847
4,high,398.315,390.555,-1.94825
5,high,366.95,369.828,0.784215
