Operation,LatencyLevel,MemCacheAvg,MiraCacheAvg,BaselineMedian,MiraCacheMedian,DifferenceAvg(%),DifferenceMedian(%)
Insert,low,3161.05,3378.24,3117.7,3412.44,6.87104,9.45375
Lookup,low,527.383,557.208,475.04,528.765,5.65528,11.3094
RangeScan,low,392.351,407.87,395.291,375.895,3.95524,-4.90685
Mixed,low,141.95,18218.3,139.743,17173.6,12734.3,12189.4
Insert,medium,3184.95,3350.97,3142.43,3379.27,5.21248,7.53678
Lookup,medium,489.928,506.828,482.575,498.588,3.44951,3.31834
RangeScan,medium,410.266,395.418,395.778,374.973,-3.61923,-5.2569
Mixed,medium,312.607,19735.4,305.746,17647.6,6213.16,5671.99
Insert,high,3491.18,3574.9,3510.86,3631.82,2.39801,3.44524
Lookup,high,576.668,579.277,595.805,602.916,0.452409,1.19346
RangeScan,high,393.644,388.392,397.5,390.555,-1.33402,-1.74719
Mixed,high,447.147,17947.6,453.602,17143.8,3913.8,3679.48
